"SampleID","Source","Mean","SD","2.5.perc","5.perc","25.perc","50.perc","75.perc","95.perc","97.5.perc"
"GS_1","Inshore","0.211","0.088","0.064","0.084","0.144","0.201","0.267","0.374","0.407"
"GS_1","Offshore","0.789","0.088","0.593","0.626","0.733","0.799","0.856","0.916","0.936"
"GS_2","Inshore","0.162","0.116","0.015","0.021","0.069","0.138","0.233","0.386","0.426"
"GS_2","Offshore","0.838","0.116","0.574","0.614","0.767","0.862","0.931","0.979","0.985"
"GS_3","Inshore","0.111","0.078","0.011","0.016","0.050","0.094","0.156","0.262","0.295"
"GS_3","Offshore","0.889","0.078","0.705","0.738","0.844","0.906","0.950","0.984","0.989"
"GS_4","Inshore","0.287","0.165","0.020","0.034","0.152","0.281","0.418","0.553","0.598"
"GS_4","Offshore","0.713","0.165","0.402","0.447","0.582","0.719","0.848","0.966","0.980"
"GT_1","Inshore","0.258","0.143","0.022","0.041","0.149","0.250","0.357","0.505","0.551"
"GT_1","Offshore","0.742","0.143","0.449","0.495","0.643","0.750","0.851","0.959","0.978"
"GT_10","Inshore","0.172","0.101","0.018","0.029","0.092","0.163","0.240","0.351","0.387"
"GT_10","Offshore","0.828","0.101","0.613","0.649","0.760","0.837","0.908","0.971","0.982"
"GT_11","Inshore","0.146","0.095","0.015","0.022","0.070","0.131","0.205","0.323","0.367"
"GT_11","Offshore","0.854","0.095","0.633","0.677","0.795","0.869","0.930","0.978","0.985"
"GT_12","Inshore","0.345","0.158","0.032","0.060","0.230","0.366","0.465","0.577","0.610"
"GT_12","Offshore","0.655","0.158","0.390","0.423","0.535","0.634","0.770","0.940","0.968"
"GT_13","Inshore","0.436","0.155","0.066","0.121","0.352","0.457","0.547","0.653","0.682"
"GT_13","Offshore","0.564","0.155","0.318","0.347","0.453","0.543","0.648","0.879","0.934"
"GT_14","Inshore","0.402","0.166","0.046","0.078","0.295","0.426","0.524","0.642","0.673"
"GT_14","Offshore","0.598","0.166","0.327","0.358","0.476","0.574","0.705","0.922","0.954"
"GT_2","Inshore","0.148","0.099","0.013","0.021","0.069","0.131","0.212","0.334","0.372"
"GT_2","Offshore","0.852","0.099","0.628","0.666","0.788","0.869","0.931","0.979","0.987"
"GT_3","Inshore","0.267","0.140","0.029","0.047","0.159","0.262","0.365","0.507","0.553"
"GT_3","Offshore","0.733","0.140","0.447","0.493","0.635","0.738","0.841","0.953","0.971"
"GT_4","Inshore","0.103","0.072","0.011","0.016","0.047","0.087","0.146","0.243","0.273"
"GT_4","Offshore","0.897","0.072","0.727","0.757","0.854","0.913","0.953","0.984","0.989"
"GT_5","Inshore","0.128","0.088","0.012","0.018","0.058","0.111","0.183","0.294","0.333"
"GT_5","Offshore","0.872","0.088","0.667","0.706","0.817","0.889","0.942","0.982","0.988"
"GT_6","Inshore","0.131","0.087","0.014","0.020","0.061","0.115","0.188","0.293","0.341"
"GT_6","Offshore","0.869","0.087","0.659","0.707","0.812","0.885","0.939","0.980","0.986"
"GT_7","Inshore","0.220","0.133","0.021","0.032","0.111","0.208","0.312","0.451","0.498"
"GT_7","Offshore","0.780","0.133","0.502","0.549","0.688","0.792","0.889","0.968","0.979"
"GT_8","Inshore","0.154","0.100","0.016","0.022","0.073","0.137","0.218","0.340","0.378"
"GT_8","Offshore","0.846","0.100","0.622","0.660","0.782","0.863","0.927","0.978","0.984"
