"SampleID","Group","LD.class","LD1","LD2"
"GT_1","GT","ReefPlankton",2.14888271199572,-3.06905250916835
"GT_2","GT","ReefPlankton",3.10902346751146,1.37264129971121
"GT_3","GT","ReefPlankton",2.08146572793401,-3.2422421946171
"GT_4","GT","PelagicPlankton",6.59599079829398,-3.63353859540018
"GT_5","GT","PelagicPlankton",4.79452669189811,-5.55759916466817
"GT_6","GT","PelagicPlankton",4.71250109814804,-2.77856700694495
"GT_7","GT","PelagicPlankton",3.78055750320265,-3.09609477747828
"GT_8","GT","PelagicPlankton",4.7278330747592,-3.02671118170786
"GT_10","GT","PelagicPlankton",7.45582189179489,0.321594024329713
"GT_11","GT","PelagicPlankton",6.54173173708133,-1.13753761089681
"GT_12","GT","ReefPlankton",2.53878935083552,1.55355256747109
"GT_13","GT","ReefPlankton",1.99924491178108,1.58148526542023
"GT_14","GT","ReefPlankton",0.778452022155359,2.39398645122456
"GS_1","GS","ReefPlankton",2.13576944009415,1.87865586167259
"GS_2","GS","ReefPlankton",4.64710505570525,0.86656176723535
"GS_3","GS","PelagicPlankton",5.78380844346422,0.0322306504686534
"GS_4","GS","ReefPlankton",1.34002091945701,2.12202046586233
